property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 40,2.15,23889,3,3,3,3,Moderately Old,900.0,1,0,1,1,0,0,45
flat,hero homes,sector 104,1.2,17544,2,2,2,22,New Property,877.0,0,0,0,0,0,0,30
flat,ambience creacions,sector 22,1.75,12700,2,2,2,11,New Property,1249.0,0,0,0,0,0,0,57
flat,chintels paradiso,sector 109,2.0,7605,4,4,2,11,Relatively New,2380.0,0,1,0,1,0,0,64
flat,signature global grand iva,sector 103,0.23,6534,1,1,1,4,Relatively New,400.0,0,0,0,0,0,0,23
flat,spaze privy at,sector 84,1.2,7453,2,2,3,3,Relatively New,1457.0,1,0,0,0,0,2,133
flat,emaar palm gardens,sector 83,1.55,9012,3,3,3,4,Relatively New,1400.0,0,1,0,0,0,2,174
flat,eden landmark,manesar,0.5,3846,2,2,0,7,Under Construction,1300.0,0,0,0,0,0,0,0
flat,godrej,sector 79,1.34,8524,2,2,3,2,Relatively New,1423.0,1,0,0,0,0,0,158
flat,dlf regal gardens,sector 90,1.78,8036,4,4,3+,8,Relatively New,2000.0,0,0,0,0,0,0,126
flat,m3m merlin,sector 67,3.39,14377,3,4,3,14,Relatively New,2100.0,0,1,0,0,0,2,26
flat,dlf the skycourt,sector 86,1.54,9222,3,3,3+,15,Relatively New,1780.0,0,1,0,0,0,0,174
flat,bestech park view sanskruti,sector 92,1.55,9688,3,3,3,17,Relatively New,1792.0,0,1,0,0,0,2,60
flat,dlf the ultima,sector 81,2.2,11190,3,4,3+,7,Relatively New,1900.0,0,1,0,0,0,1,104
flat,pyramid urban homes 2,sector 86,0.43,8583,2,2,1,6,New Property,557.0,1,0,0,0,0,0,92
flat,shree vardhman victoria,sector 70,1.25,9259,2,2,3,3,Relatively New,1222.0,1,0,0,0,0,0,43
house,independent,sector 26,6.0,33333,3,5,3+,3,Old Property,1800.0,0,0,0,0,0,2,9
flat,conscient heritage max,sector 102,1.82,9372,3,4,3+,15,Moderately Old,1757.0,0,1,0,0,0,0,125
flat,antriksh heights,sector 84,0.9,6207,3,3,3+,12,Relatively New,1525.0,0,0,0,0,0,0,166
flat,dlf ridgewood estate,sector 28,2.0,14599,3,3,1,12,Old Property,1240.0,0,0,0,0,0,2,96
flat,sare homes,sector 92,0.95,4750,4,3,2,17,New Property,1983.0,0,0,0,0,0,0,7
flat,smart world gems,sector 89,0.86,7797,2,3,2,4,New Property,1226.0,1,1,0,1,0,2,72
flat,green court,sector 90,0.5,8333,2,2,1,8,New Property,650.0,0,0,0,0,0,0,42
flat,godrej nature plus,sector 33,1.75,8768,3,3,0,2,New Property,1996.0,0,0,0,0,0,0,56
flat,sunischit apartments,sector 54,1.75,7955,3,3,3+,6,Moderately Old,2100.0,0,1,0,0,0,2,126
flat,central park flower valley,sector 33,1.79,11251,3,3,3,3,Old Property,1619.0,0,0,0,0,0,0,71
flat,godrej,sector 79,2.0,8475,3,4,3+,9,Relatively New,1963.0,0,1,0,0,0,0,108
flat,shree vardhman victoria,sector 70,1.75,8974,3,5,0,0,Relatively New,1950.0,0,0,0,0,0,0,47
house,independent,sector 46,4.25,23148,5,4,2,3,Moderately Old,1836.0,0,0,1,0,0,2,57
flat,godrej,sector 79,2.5,11141,3,3,3+,5,Relatively New,2244.0,0,0,0,0,0,0,0
flat,suncity avenue 76,sector 76,0.55,7422,2,2,2,9,Under Construction,823.0,0,0,0,0,0,0,26
flat,rof ananda,sector 95,0.2,5464,1,1,1,9,Relatively New,407.0,0,0,0,1,0,0,52
flat,sare crescent parc royal greens phase 1,sector 92,0.5,5000,2,2,3,2,Relatively New,1000.0,0,0,0,0,0,0,0
flat,godrej,sector 79,1.33,8531,2,2,3,6,Relatively New,1411.0,1,0,0,0,0,0,158
flat,satya element one,sector 49,0.87,19333,1,1,1,2,Relatively New,500.0,0,0,0,0,0,0,22
flat,shree vardhman flora,sector 90,0.7,4614,2,2,3,9,New Property,1224.0,1,0,0,0,1,0,51
flat,silverglades the melia,sohna road,0.78,5778,2,2,3,9,Under Construction,1222.0,1,0,0,0,0,0,72
house,independent,sector 47,4.3,29312,3,4,2,2,Moderately Old,1467.0,0,0,0,0,1,0,0
house,independent,sector 31,3.5,24155,4,4,3,2,Old Property,1449.0,0,0,1,0,0,2,70
house,Emaar MGF Marbella,sector 66,9.0,21251,4,4,3+,0,Relatively New,5200.0,0,1,1,1,0,2,114
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,17287,3,3,3,12,New Property,1465.0,0,0,1,0,0,0,72
flat,umang winter hills,sector 77,0.86,6408,2,2,2,16,New Property,1214.0,0,0,0,0,0,2,79
flat,central park resorts,sector 48,3.65,15240,3,3,3+,9,Relatively New,2395.0,0,0,0,0,1,2,157
house,independent,sector 3 phase 3 extension,1.5,5000,6,1,0,1,New Property,3000.0,0,0,0,0,0,0,0
flat,godrej air,sector 85,1.3,14541,2,2,3,30,New Property,1130.0,0,0,0,0,0,0,111
flat,sobha city,sector 37,2.4,17379,2,2,2,14,New Property,1250.0,0,0,0,0,0,2,113
flat,orchid petals,sector 49,4.16,11699,5,4,3+,14,Relatively New,3219.0,1,1,0,0,0,0,40
flat,ss the leaf,sector 85,1.84,7641,3,4,3,8,Relatively New,2026.0,0,0,0,1,0,0,158
flat,ireo uptown,sector 66,1.32,11438,2,2,2,6,Relatively New,1048.0,0,0,0,0,0,0,45
flat,puri emerald bay,sector 104,2.6,15160,3,4,3+,5,Relatively New,2061.0,1,1,0,0,0,0,81
house,u block dlf phase 3 road no 21,sector 24,1.6,3292,7,5,3+,4,Old Property,540.0,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960,3,3,3,9,Relatively New,1852.0,0,0,0,0,0,0,72
flat,godrej nature plus serenity,sector 33,1.39,11583,3,2,3+,23,New Property,1333.0,0,0,0,0,0,0,105
house,independent,sector 2,2.95,15989,4,4,3+,2,Old Property,1845.0,0,0,0,0,0,0,27
flat,pareena coban residences,sector 99a,1.45,7261,3,5,3,11,Relatively New,1807.0,0,1,0,0,1,2,49
house,independent,sector 105,0.37,8222,2,2,1,1,Moderately Old,450.0,0,0,0,0,1,0,0
flat,vatika the seven lamps,sector 82,1.28,6819,3,3,3,3,Relatively New,1800.0,1,0,0,0,0,2,165
flat,raheja the vedaanta floors,sector 108,0.7,4522,2,2,3,1,Moderately Old,1720.0,0,0,0,0,0,2,0
flat,unitech fresco,sector 50,1.8,9590,3,4,3+,6,Moderately Old,1870.0,0,1,0,0,0,2,174
flat,essel towers,sector 14,2.2,12500,3,4,3+,3,Old Property,1956.0,0,0,0,0,0,0,0
house,Experion Windchants3.8 ?,sector 112,9.5,23457,5,5,3,2,Relatively New,7450.0,0,1,0,0,0,0,45
flat,ats triumph,sector 104,2.5,7937,4,4,3+,14,New Property,2851.0,0,1,0,0,0,0,21
flat,central park flower valley,sector 33,1.55,11923,3,3,3+,7,New Property,1444.0,0,0,0,0,0,2,28
house,independent,sector 11,1.2,4444,7,3,0,3,Moderately Old,300.0,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.95,9701,4,4,2,0,Relatively New,1819.0,0,0,0,0,0,0,157
flat,cancon enclave,sector 4,1.05,7778,3,2,2,2,New Property,1500.0,0,0,0,0,0,2,0
flat,chd avenue,sector 71,1.4,7946,3,3,2,1,Moderately Old,1958.0,0,0,0,1,0,2,125
flat,tulip violet,sector 69,1.32,8413,3,3,1,12,Relatively New,1419.0,0,0,0,1,0,0,86
flat,dlf regal gardens,sector 90,1.76,7946,4,4,3+,8,Relatively New,2020.0,0,0,0,0,0,2,135
flat,ats triumph,sector 104,2.65,8413,4,4,3+,14,Relatively New,2898.0,0,1,0,0,0,0,21
flat,signature global city,sector 37d,1.25,6083,3,3,3,4,New Property,2283.0,0,0,0,0,0,0,16
flat,smart world gems,sector 89,1.3,9136,3,3,2,2,New Property,1581.0,1,0,0,0,0,0,44
flat,tulip violet,sector 69,1.38,8973,3,3,1,12,Relatively New,1392.0,0,0,0,0,0,0,157
house,Signature Global City 92,sector 92,0.75,7821,2,2,3,1,Relatively New,959.0,0,0,0,0,0,0,0
house,independent,sector 55,3.1,20026,5,4,3+,2,Moderately Old,1548.0,0,1,1,0,0,2,59
flat,dlf the ultima,sector 81,2.3,10937,3,3,3+,19,Relatively New,1617.0,1,1,0,1,1,1,49
flat,smart world orchard,sector 61,2.24,14461,3,3,2,3,New Property,1402.0,0,0,0,0,1,0,61
flat,tulip violet,sector 69,1.2,8889,2,3,1,0,Relatively New,1222.0,0,0,0,0,0,0,150
flat,ss the coralwood,sector 84,1.1,5820,3,3,3+,12,Moderately Old,1710.0,0,0,0,0,0,2,104
house,DLF City Plots,sector 26,13.5,29880,5,5,3,2,Old Property,4518.0,1,1,1,1,0,2,110
house,Unitech Espace,sector 50,11.29,34846,5,5,3+,2,Moderately Old,3240.0,1,0,0,1,0,0,21
flat,bptp terra,sector 37d,1.6,7303,4,3,3+,7,Relatively New,2000.0,0,0,0,0,1,2,139
house,independent,sector 105,1.2,13333,4,4,1,2,Moderately Old,900.0,0,0,0,0,1,0,14
flat,czar mahira homes 63a,sector 63a,0.42,7407,3,2,2,1,New Property,630.0,0,0,0,0,0,0,0
flat,suncity vatsal valley,gwal pahari,1.45,10140,3,3,3,4,Under Construction,1430.0,0,0,0,0,0,0,49
flat,m3m the marina,sector 68,1.02,8095,2,2,2,11,Relatively New,1250.0,0,0,0,0,1,2,49
house,independent,sector 12,1.7,8000,5,5,3,3,Moderately Old,2000.0,0,0,0,1,1,0,9
flat,divya apartments,sector 6,0.6,7595,2,2,0,2,Relatively New,790.0,0,0,0,0,0,2,15
flat,indiabulls centrum park,sector 103,1.34,7882,3,3,3+,12,Relatively New,1725.0,1,1,1,1,0,2,38
flat,mapsko mount ville,sector 79,1.25,8389,3,3,3,22,Relatively New,1154.0,1,0,0,1,0,0,160
flat,m3m woodshire,sector 107,1.8,7624,3,4,3+,2,Relatively New,1837.0,0,1,0,0,0,0,129
flat,smart world orchard,sector 61,1.5,12500,2,2,2,2,Under Construction,1333.0,1,0,0,0,0,0,49
flat,pareena mi casa,sector 68,1.0,8163,2,2,2,16,New Property,1361.0,0,1,0,0,0,0,65
flat,la vida by tata housing,sector 113,2.45,11051,3,3,3+,3,Relatively New,1890.0,1,0,0,0,0,0,174
flat,emaar digihomes,sector 62,2.1,14257,2,2,2,30,New Property,1365.0,0,1,0,0,0,0,52
house,independent,sector 13,1.5,11538,2,7,3,4,Moderately Old,1300.0,0,0,0,0,0,0,0
flat,cghs hewo apartments,sector 31,1.25,11574,2,2,2,2,Old Property,1200.0,0,0,0,0,0,0,28
flat,laxmi pareena,sector 99a,0.3,6667,2,1,0,12,New Property,500.0,0,0,0,0,0,0,0
flat,mapsko casa bella,sector 82,1.38,5444,4,5,3+,20,Relatively New,2294.0,0,1,0,0,0,0,79
flat,ild grand,sector 37c,0.66,5038,2,2,3+,14,Relatively New,1310.0,0,0,0,0,0,0,60
flat,la vida by tata housing,sector 113,2.7,16364,3,4,3+,4,Relatively New,2217.0,0,1,0,0,0,2,49
flat,m3m golfestate,sector 79,1.4,10000,2,2,2,4,Relatively New,1556.0,1,1,1,0,0,1,83
flat,vatika gurgaon,sector 83,0.87,6988,2,2,2,3,Moderately Old,1127.0,0,0,0,0,0,0,35
house,Sushant Lok 1 Builder Floors,sector 43,1.65,3395,4,4,3+,4,Moderately Old,540.0,0,0,0,0,1,1,49
flat,m3m skywalk,sector 74,1.78,12500,2,2,3+,12,Relatively New,1582.0,0,0,0,0,0,0,63
flat,hcbs sports ville,sohna road,0.3,4011,2,2,2,3,Relatively New,743.0,0,0,0,0,0,0,0
flat,shapoorji pallonji joyville gurugram,sector 102,1.95,13929,3,3,3,6,New Property,1616.0,0,0,0,1,0,2,174
flat,ireo victory valley,sector 67,2.95,12236,3,3,3,10,Relatively New,2150.0,0,1,0,0,0,2,174
flat,central park resorts,sector 48,5.15,20901,3,3,3+,8,Moderately Old,2364.0,0,1,0,0,0,1,53
flat,mvn athens,sohna road,0.26,5394,2,2,1,5,Relatively New,535.0,0,0,0,0,0,0,95
flat,signature global the millennia,sector 37d,0.55,9167,2,2,3,3,New Property,610.0,0,0,0,0,0,0,71
flat,the close north,sector 50,2.7,9982,3,3,3+,3,Moderately Old,2357.0,0,1,0,0,0,0,117
house,Ansal Sushant Lok Plots4.1 ?,sector 43,5.8,29974,6,6,3,2,Relatively New,1935.0,0,1,0,0,1,2,49
flat,puri diplomatic greens,sector 111,2.58,11727,3,4,2,10,Moderately Old,2200.0,0,1,0,0,0,0,86
flat,ireo the grand arch,sector 58,2.2,16000,2,2,2,6,Relatively New,1244.0,0,0,0,0,0,0,42
flat,tulip lemon,sector 69,0.6,10000,2,1,1,12,Relatively New,667.0,0,0,0,0,0,0,23
flat,palam vihar society,sector 2,3.35,7444,4,4,3+,2,New Property,5000.0,1,0,0,0,0,0,66
flat,ireo skyon,sector 60,3.75,13393,4,5,3,15,Relatively New,2534.0,0,1,0,0,0,0,167
flat,emaar mgf emerald floors premier,sector 65,2.8,14177,4,4,3,2,Relatively New,2194.0,1,1,0,0,0,2,108
flat,sare homes,sector 92,1.12,5359,4,4,2,12,Relatively New,2322.0,0,1,0,0,0,0,85
house,nul,sector 25,15.0,23438,5,5,3,2,Moderately Old,6400.0,1,1,0,1,0,2,112
flat,dlf icon,sector 43,5.8,20707,4,4,3+,18,Old Property,2801.0,0,0,0,0,0,0,0
flat,raheja revanta,sector 78,4.75,16886,3,3,2,31,New Property,2813.0,0,1,0,0,0,0,100
flat,dlf the belaire,sector 54,7.0,23333,4,6,3+,12,Moderately Old,2715.0,0,1,1,1,0,2,108
flat,dlf the ultima,sector 81,2.5,11726,3,3,2,20,Relatively New,1700.0,0,1,0,0,0,1,174
flat,afnhb jalvayu vihar,sector 30,0.85,12859,2,2,1,2,Old Property,734.0,0,0,0,0,1,2,49
flat,ambience creacions,sector 22,2.55,13710,3,3,3,8,Relatively New,1860.0,0,0,0,0,1,2,125
flat,ashiana anmol,sohna road,0.9,7059,2,2,2,8,Relatively New,1275.0,0,0,0,0,0,0,0
flat,ss the leaf,sector 85,1.2,12371,2,2,2,4,Relatively New,1190.0,0,1,1,0,0,0,81
flat,pyramid urban,sector 67a,0.55,10516,2,2,2,3,Relatively New,581.0,0,0,0,0,0,0,73
flat,signature global the millennia 3,sector 37d,0.5,7143,3,3,2,2,New Property,778.0,0,0,0,0,0,0,31
house,Adani Brahma Samsara4.2 ?,sector 60,18.02,28200,9,12,3+,3,Relatively New,6390.0,0,1,0,0,0,2,146
flat,pivotal riddhi siddhi,sector 99,0.4,4444,2,2,2,9,New Property,733.0,0,0,0,0,0,0,60
house,International City by Sobha Phase 1,sector 109,5.7,10556,4,4,3+,4,Relatively New,5400.0,1,1,0,0,0,0,98
flat,m3m golfestate,sector 65,5.5,16960,3,4,3,3,Relatively New,2803.0,0,1,0,0,0,0,49
flat,supertech araville,sector 79,1.35,6941,3,3,3,4,Relatively New,2161.0,0,0,0,0,0,0,0
flat,central park flower valley aqua front towers,sector 33,2.1,11738,3,3,2,6,Under Construction,1619.0,0,0,0,0,0,0,24
flat,park view apartments,sector 15,1.6,11034,3,3,3+,2,Moderately Old,1611.0,0,0,0,1,0,0,56
house,Palam Vihar Extension West Zone RWA,sector 2,0.4,4444,3,4,2,2,Moderately Old,900.0,0,0,0,0,0,0,36
flat,alpha corp gurgaonone,sector 84,2.24,6523,4,4,3,12,Relatively New,3165.0,0,1,0,0,0,0,20
flat,tulip violet,sector 69,1.55,9823,3,3,2,0,Relatively New,1428.0,0,0,0,1,0,2,129
flat,shri ram apartments,sector 4,0.32,3368,2,2,1,4,Relatively New,1056.0,0,0,0,0,0,2,7
house,Puri Diplomatic Greens4.0 ?,sector 111,9.0,11250,5,5,3+,3,Relatively New,8000.0,0,1,0,0,0,0,112
flat,m3m woodshire,sector 107,0.75,5490,2,2,3+,14,Relatively New,1201.0,0,0,0,1,0,0,174
flat,ss the leaf,sector 85,1.08,6585,2,2,3,8,New Property,1200.0,1,1,1,1,0,2,157
flat,shree vardhman flora,sector 90,0.95,6333,3,3,3,9,Relatively New,1667.0,0,1,0,0,0,0,90
flat,bestech park view grand spa,sector 81,2.3,8647,3,4,3+,7,Relatively New,2280.0,0,1,0,0,0,2,49
house,Ansal API Esencia3.7 ?,sector 67,1.85,8222,3,3,3,1,Moderately Old,278.0,0,0,0,0,0,0,0
flat,la vida by tata housing,sector 113,2.85,12855,3,3,3+,10,New Property,2006.0,0,1,0,0,0,0,72
flat,dlf the arbour,sector 63,7.8,19747,4,4,0,6,New Property,3950.0,0,0,0,0,0,0,61
flat,signature global park 4,sector 110,0.72,6660,3,2,3,3,Under Construction,978.0,0,0,0,0,0,0,0
flat,m3m capital,sector 113,2.9,12620,4,4,3+,11,New Property,2553.0,1,1,0,0,0,0,49
flat,emaar gurgaon greens,sector 102,1.35,8182,3,3,3,9,Relatively New,1315.0,0,1,0,0,0,0,100
flat,ss the coralwood,sector 84,1.01,5771,3,3,2,18,Relatively New,1475.0,0,0,0,0,0,0,40
house,Vatika Independent Floors3.8 ?,sector 82,1.4,8235,3,3,2,3,New Property,1700.0,0,0,0,1,0,0,61
flat,elan the presidential,sector 106,3.9,15918,3,3,0,20,Relatively New,2450.0,0,0,0,0,0,0,66
flat,puri diplomatic greens,sector 111,3.45,11695,4,5,3+,10,Relatively New,2670.0,0,1,0,0,0,0,101
flat,signature global solera,sector 107,0.29,5930,2,2,2,3,Relatively New,543.0,0,0,0,0,0,0,45
house,independent,sector 23,5.65,17706,7,7,3+,2,Moderately Old,5000.0,0,1,0,1,0,0,68
flat,tulip leaf,sector 69,2.07,11424,3,3,3,16,Relatively New,1640.0,0,0,0,0,0,0,49
flat,assotech blith,sector 99,0.92,6740,2,2,3+,22,Under Construction,1235.0,0,0,0,0,0,0,56
flat,ansal housing highland park,sector 103,2.0,7491,4,5,3+,14,New Property,2416.0,0,1,0,0,0,0,45
flat,shree vardhman victoria,sector 70,1.8,9231,3,3,3+,10,New Property,1765.0,0,0,0,0,1,2,49
flat,indiabulls enigma,sector 110,3.4,10000,4,5,3,3,Relatively New,3077.0,0,1,1,0,0,0,90
house,Bptp Visionnaire,sector 70a,4.7,18008,4,4,3+,3,New Property,2610.0,0,0,0,0,1,0,35
flat,emaar gurgaon greens,sector 102,1.45,8788,3,3,3,8,Relatively New,1300.0,0,1,0,0,0,0,49
flat,indiabulls centrum park,sector 103,1.05,5859,2,2,3,1,Relatively New,1365.0,0,0,0,0,0,2,51
house,independent,sector 7,2.0,11111,2,2,1,2,Relatively New,1800.0,0,0,0,0,0,0,0
flat,silverglades hightown residences,sector 43,4.2,19765,3,4,2,7,New Property,2125.0,0,0,0,0,0,0,42
flat,kendriya vihar,sector 56,0.55,9016,1,2,1,0,Old Property,678.0,0,0,0,0,0,0,68
flat,godrej aria,sector 79,0.95,6552,2,2,3,5,Relatively New,1611.0,0,0,0,0,0,2,174
flat,rof aalayas,sector 102,0.45,8411,2,2,1,14,Relatively New,568.0,0,0,0,0,0,1,57
house,independent,sector 81,0.89,8128,1,1,0,1,Relatively New,1095.0,0,0,0,0,0,0,0
flat,green campus chs,manesar,0.92,4023,3,3,3+,8,Moderately Old,1924.0,0,1,0,0,0,0,5
flat,ss the leaf,sector 85,1.12,6452,2,2,3,10,Relatively New,1485.0,0,0,0,0,1,0,49
house,independent,sector 26,4.5,33333,3,3,2,2,Old Property,1350.0,0,0,0,1,0,2,58
flat,gls arawali homes,sohna road,0.26,4514,2,2,2,5,New Property,640.0,0,0,0,0,0,0,78
flat,sare crescent parc,sector 92,0.92,4855,4,5,3+,14,Moderately Old,1895.0,0,0,0,0,0,2,131
house,International City by SOBHA Phase 2,sector 109,7.0,12963,5,6,2,2,Relatively New,5400.0,0,1,0,0,0,0,154
house,International City by SOBHA Phase 2,sector 109,9.5,26389,7,6,3,3,Relatively New,3600.0,1,1,0,1,0,0,138
flat,umang monsoon breeze,sector 78,0.95,5491,3,3,2,9,Relatively New,1730.0,0,0,0,0,0,2,65
house,independent,sector 14,4.15,18444,5,4,2,2,Old Property,2250.0,0,0,0,0,0,2,51
flat,signature global park,sohna road,0.53,6295,2,2,2,1,Relatively New,939.0,0,0,0,1,0,0,168
flat,emaar mgf the palm drive,sector 66,4.6,18400,3,3,3,11,Relatively New,2882.0,1,1,1,1,0,0,131
flat,emaar mgf emerald floors premier,sector 65,2.8,16970,4,4,3,2,Relatively New,1650.0,1,0,0,0,0,2,89
flat,dlf regency park,sector 28,2.3,11819,3,3,3,7,Moderately Old,1777.0,0,1,0,0,0,0,117
flat,madhur jeevan apartments,sector 56,1.59,8595,4,3,3+,3,Old Property,1900.0,0,0,0,0,1,2,33
house,Emaar MGF Marbella,sector 66,15.1,18605,5,5,3+,3,New Property,8067.799999999999,1,1,1,1,0,0,120
flat,eldeco accolade,sohna road,0.72,4976,2,2,3+,12,Relatively New,1131.0,1,0,0,0,0,0,152
house,Emaar MGF Marbella,sector 66,9.01,16066,4,4,3+,3,Relatively New,5574.7,0,1,1,0,0,0,122
flat,aipl the peaceful homes,sector 70a,1.6,9587,2,2,2,22,Moderately Old,1416.0,0,0,0,0,0,0,86
flat,godrej nature plus,sector 33,1.5,10197,2,2,3+,2,New Property,1539.0,0,0,0,0,0,0,87
house,Ireo Victory Valley4.0 ?,sector 67,8.0,22222,6,7,3+,3,Moderately Old,3600.0,1,1,1,1,0,2,151
house,Nirvana Cedar Crest,sector 50,7.1,32870,5,4,3,2,Moderately Old,2160.0,1,0,1,1,0,2,110
flat,chd avenue,sector 71,1.2,7407,3,3,3,4,Relatively New,1466.0,0,0,0,0,1,2,49
flat,tulip violet,sector 69,1.44,9125,3,3,2,1,Relatively New,1381.0,0,0,0,1,0,0,174
house,BPTP Pedestal,sector 70a,0.92,7751,2,3,3+,3,New Property,1319.0,0,0,0,0,1,0,153
flat,alpha corp gurgaonone,sector 84,2.2,6407,4,4,3+,15,Relatively New,3108.0,0,1,0,0,0,0,97
flat,aipl the peaceful homes,sector 70a,2.4,11163,3,3,3,11,Relatively New,1946.0,0,1,0,0,0,0,108
flat,tata primanti,sector 72,3.85,13253,4,5,3+,13,Relatively New,2629.0,0,1,0,0,0,2,174
house,International City by Sobha Phase 1,sector 109,12.0,20000,5,6,3,2,Relatively New,7000.0,1,1,0,0,0,2,154
flat,tulip violet,sector 69,1.55,9823,3,3,2,9,Relatively New,1428.0,0,0,0,1,0,2,165
flat,ss the leaf,sector 85,1.75,7267,3,4,3,8,Relatively New,2179.0,0,1,0,0,0,0,49
flat,aipl the peaceful homes,sector 70a,2.5,10638,3,4,3,8,Relatively New,2127.0,0,1,1,0,0,2,174
flat,emaar mgf emerald floors premier,sector 65,2.65,16061,3,3,3,5,Relatively New,1650.0,1,1,0,0,0,0,37
flat,dlf the primus,sector 82a,1.59,10338,3,3,3+,5,Relatively New,1668.0,0,0,0,0,1,1,167
flat,emaar palm gardens,sector 83,1.76,9263,3,3,3,6,Relatively New,1500.0,0,1,0,0,0,2,165
flat,signature andour heights,sector 71,0.37,8222,1,1,2,2,Relatively New,450.0,0,0,0,0,0,0,65
house,independent,sector 57,7.25,26852,9,9,3+,2,New Property,2700.0,0,1,0,1,1,2,49
flat,godrej aria,sector 79,1.0,6653,2,2,2,4,Relatively New,1300.0,1,0,0,0,0,0,49
house,Bptp Visionnaire,sector 70a,4.0,6666,4,4,3+,2,Relatively New,6000.0,0,1,0,0,0,0,154
house,DLF The Grove,sector 54,5.7,23457,4,4,0,1,Moderately Old,2430.0,0,0,0,0,0,0,0
flat,tulip ivory,sector 70,5.0,10417,6,7,3+,0,Relatively New,5333.0,1,1,0,0,0,0,119
flat,godrej,sector 79,1.91,8512,3,4,3+,7,Relatively New,2031.0,0,1,0,0,0,0,158
flat,paras dews,sector 106,0.88,6354,2,2,3+,3,Relatively New,1120.0,0,0,0,0,0,0,49
flat,antriksh heights,sector 84,0.89,4369,3,3,3,8,Relatively New,1833.0,0,0,0,1,0,0,67
flat,zara aavaas,sector 104,0.2,6645,1,2,2,3,New Property,334.0,0,0,0,0,0,0,67
flat,vasant appartments,sector 14,1.7,7391,5,5,2,2,Old Property,2556.0,1,0,1,1,0,1,71
house,independent,sector 105,1.3,11556,3,3,1,2,Moderately Old,1125.0,0,0,0,0,0,0,16
flat,hcbs sports ville,sohna road,0.32,5517,2,2,1,7,New Property,644.0,0,0,0,0,0,0,37
flat,sare homes,sector 92,1.19,5219,4,3,3,14,Relatively New,2533.0,0,1,0,0,0,0,100
flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383,2,2,2,14,Relatively New,915.0,0,0,0,0,0,0,0
house,independent,sector 2,3.65,23443,3,9,3+,3,New Property,1557.0,0,1,0,1,0,2,116
flat,la vida by tata housing,sector 113,2.78,10335,3,4,3+,5,Relatively New,2350.0,0,1,0,0,0,0,174
flat,aipl the peaceful homes,sector 70a,2.52,10723,3,4,3,8,Relatively New,2127.0,0,1,0,0,0,0,174
flat,tulip violet,sector 69,1.4,8917,3,3,1,12,Relatively New,1419.0,0,0,0,1,0,0,86
house,Surendra Homes Dayaindependentd Colony,sector 6,0.75,15625,4,4,2,1,Moderately Old,480.0,0,0,0,0,0,0,0
flat,indiabulls centrum park,sector 103,1.65,8250,3,3,3+,15,Relatively New,1683.0,1,0,0,0,0,0,38
flat,sbr minda sec 1 imt manesar,manesar,0.65,4260,3,2,3+,6,Moderately Old,1696.0,0,0,0,0,0,0,5
flat,paras dews,sector 106,1.28,7273,3,4,3+,24,Relatively New,1186.0,0,1,0,0,0,0,49
house,independent,sector 50,10.55,32562,5,5,3,2,Moderately Old,3240.0,1,1,0,0,0,0,42
flat,green campus chs,manesar,0.9,3935,3,3,3+,6,Moderately Old,2070.0,0,1,0,0,0,0,5
flat,experion the heartsong,sector 108,2.28,8204,4,5,3+,8,Relatively New,2515.0,0,0,0,0,0,0,101
flat,rose apartment,sector 28,3.0,10482,3,5,3+,8,Old Property,2590.0,0,0,0,0,0,0,0
house,DLF Alameda,sector 73,17.0,35109,5,8,3,3,Relatively New,9000.0,1,1,1,1,0,1,87
house,independent,sector 24,3.5,32407,2,4,3,3,Old Property,1080.0,0,0,0,0,0,0,15
flat,shree vardhman victoria,sector 70,1.65,8462,3,5,3,6,Relatively New,1527.0,0,1,0,1,0,0,167
flat,signature global park,sohna road,0.91,6289,3,3,3,1,Relatively New,1599.0,0,0,0,1,0,0,165
flat,kamal residence,sohna road,0.4,7634,2,2,1,0,New Property,582.0,0,0,0,0,1,2,16
house,Sobha City,sector 108,10.5,14323,5,4,3+,1,Relatively New,7331.0,0,0,0,0,0,0,0
flat,gls arawali homes,sohna road,0.3,5291,2,2,0,10,Relatively New,567.0,0,0,0,0,0,0,0
flat,rof ananda,sector 95,0.31,5647,2,2,1,5,Relatively New,610.0,0,0,0,1,0,2,74
flat,alpha corp gurgaonone,sector 84,1.15,7497,2,2,3,14,Relatively New,1394.0,1,0,0,0,0,0,28
house,independent,sector 50,6.5,21667,5,6,0,1,Moderately Old,3000.0,0,0,0,0,0,0,0
flat,ansal plaza,sector 2,1.0,10000,2,3,0,1,Moderately Old,1000.0,0,0,0,0,0,0,0
flat,hsiidc sidco aravali,manesar,0.86,3323,3,3,3+,3,Moderately Old,1900.0,0,1,0,0,0,0,81
flat,supertech araville,sector 79,1.1,5641,3,3,3,1,Relatively New,2167.0,0,0,0,0,0,2,106
house,independent,sector 21,1.6,11852,5,5,2,3,Relatively New,120.0,0,0,0,0,0,0,0
flat,la vida by tata housing,sector 113,1.38,12000,2,2,3,8,New Property,1350.0,1,0,0,0,0,0,174
